Province/State,Country/Region,Last Update,Latitude,Longitude,Confirmed,Deaths,Recovered
Shandong,Mainland China,1/24/2020 17:00,,,15,,
Shanghai,Mainland China,1/24/2020 17:00,,,20,,1
Shanxi,Mainland China,1/24/2020 17:00,,,1,,
Sichuan,Mainland China,1/24/2020 17:00,,,15,,
Taiwan,Taiwan,1/24/2020 17:00,,,3,,
Terengganu,Malaysia,1/24/2020 17:00,,,0,0,0
Tianjin,Mainland China,1/24/2020 17:00,,,8,,
Unknown,China,1/24/2020 17:00,,,,,
Unknown,Malaysia,1/24/2020 17:00,,,0,0,0
Unknown,Ukraine,1/24/2020 17:00,,,0,0,0
Unknown,United Kingdom,1/24/2020 17:00,,,0,0,0
W.P. Kuala Lumpur,Malaysia,1/24/2020 17:00,,,0,0,0
W.P. Labuan,Malaysia,1/24/2020 17:00,,,0,0,0
W.P. Putrajaya,Malaysia,1/24/2020 17:00,,,0,0,0
Wales,United Kingdom,1/24/2020 17:00,,,0,0,0
Washington,US,1/24/2020 17:00,,,1,,
Xinjiang,Mainland China,1/24/2020 17:00,,,2,,
Yunnan,Mainland China,1/24/2020 17:00,,,5,,
Zhejiang,Mainland China,1/24/2020 17:00,,,43,,1
,Japan,1/24/2020 17:00,,,2,,
,Thailand,1/24/2020 17:00,,,5,0,3
,South Korea,1/24/2020 17:00,,,2,,
,Singapore,1/24/2020 17:00,,,3,,
,Vietnam,1/24/2020 17:00,,,2,,
,France,1/24/2020 17:00,,,2,,
,Kiribati,1/24/2020 17:00,,,0,0,0
,Palau,1/24/2020 17:00,,,0,0,0
,Summer Olympics 2020,1/24/2020 17:00,,,0,0,0
,Tonga,1/24/2020 17:00,,,0,0,0
,Winter Olympics 2022,1/24/2020 17:00,,,0,0,0
,Antarctica,1/24/2020 17:00,,,0,0,0
,"Korea, North",1/24/2020 17:00,,,0,0,0
,Nauru,1/24/2020 17:00,,,0,0,0
,Tuvalu,1/24/2020 17:00,,,0,0,0
Anhui,Mainland China,1/25/2020 17:00,,,39,,
Beijing,Mainland China,1/25/2020 17:00,,,41,,2
Chongqing,Mainland China,1/25/2020 17:00,,,57,,
Cook Islands,New Zealand,1/25/2020 17:00,,,0,0,0
England,United Kingdom,1/25/2020 17:00,,,0,0,0
Fujian,Mainland China,1/25/2020 17:00,,,18,,
Gansu,Mainland China,1/25/2020 17:00,,,4,,
Guangdong,Mainland China,1/25/2020 17:00,,,78,,2
Guangxi,Mainland China,1/25/2020 17:00,,,23,,
Guernsey,United Kingdom,1/25/2020 17:00,,,0,0,0
Guizhou,Mainland China,1/25/2020 17:00,,,4,,
Hainan,Mainland China,1/25/2020 17:00,,,19,,
Hebei,Mainland China,1/25/2020 17:00,,,8,1,
Heilongjiang,Mainland China,1/25/2020 17:00,,,9,1,
Henan,Mainland China,1/25/2020 17:00,,,32,,
Hong Kong,Hong Kong,1/25/2020 17:00,,,5,,
Hubei,Mainland China,1/25/2020 17:00,,,761,40,32
Hunan,Mainland China,1/25/2020 17:00,,,43,,
Illinois,US,1/25/2020 17:00,,,1,,
Inner Mongolia,Mainland China,1/25/2020 17:00,,,7,,
Jersey,United Kingdom,1/25/2020 17:00,,,0,0,0
Jiangsu,Mainland China,1/25/2020 17:00,,,18,,1
Jiangxi,Mainland China,1/25/2020 17:00,,,18,,
Jilin,Mainland China,1/25/2020 17:00,,,4,,
Johor,Malaysia,1/25/2020 17:00,,,0,0,0
Kedah,Malaysia,1/25/2020 17:00,,,0,0,0
Kelantan,Malaysia,1/25/2020 17:00,,,0,0,0
Liaoning,Mainland China,1/25/2020 17:00,,,17,,
Macau,Macau,1/25/2020 17:00,,,2,,
Melaka,Malaysia,1/25/2020 17:00,,,0,0,0
Negeri Sembilan,Malaysia,1/25/2020 17:00,,,0,0,0
Ningxia,Mainland China,1/25/2020 17:00,,,3,,
Niue,New Zealand,1/25/2020 17:00,,,0,0,0
Northern Ireland,United Kingdom,1/25/2020 17:00,,,0,0,0
Pahang,Malaysia,1/25/2020 17:00,,,0,0,0
