Country_Region,Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,Population
Panama,Panama,438781,6860,420113,11808,1037,9,1178,1.56,95.75,1.63,432523,6258,1.45,Americas,4321282
Papua New Guinea,Papua New Guinea,17774,192,17384,198,0,0,0,1.08,97.81,1.1,17670,104,0.59,Western Pacific,8963009
Paraguay,Paraguay,453794,15172,423964,14658,427,37,969,3.34,93.43,3.58,451158,2636,0.58,Americas,7141091
Peru,Peru,2119068,196673,2086086,-163691,2416,75,2339,9.28,98.44,9.43,2107873,11195,0.53,Americas,33016319
Philippines,Philippines,1619824,28231,1528422,63171,7283,90,7159,1.74,94.36,1.85,1566667,53157,3.39,Western Pacific,109722719
Poland,Poland,2883448,75269,2653981,154198,164,4,47,2.61,92.04,2.84,2882465,983,0.03,Europe,37842302
Portugal,Portugal,977406,17412,912620,47374,3203,15,3290,1.78,93.37,1.91,960437,16969,1.77,Europe,10193593
Qatar,Qatar,226874,601,224285,1988,164,0,156,0.26,98.86,0.27,225747,1127,0.5,Eastern Mediterranean,2807805
Romania,Romania,1083982,34298,1048072,1612,271,1,157,3.16,96.69,3.27,1082710,1272,0.12,Europe,19224023
Russia,Russia,6274006,159032,5609682,505292,22053,769,19545,2.53,89.41,2.83,6116249,157757,2.58,Europe,145940924
Rwanda,Rwanda,73610,850,44911,27849,769,6,24,1.15,61.01,1.89,67902,5708,8.41,Africa,12981546
Saint Kitts and Nevis,Saint Kitts and Nevis,600,3,549,48,0,0,0,0.5,91.5,0.55,582,18,3.09,Americas,53237
Saint Lucia,Saint Lucia,5671,89,5398,184,19,0,8,1.57,95.19,1.65,5537,134,2.42,Americas,183712
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2298,12,2233,53,1,0,3,0.52,97.17,0.54,2288,10,0.44,Americas,110976
San Marino,San Marino,5178,90,5009,79,11,0,0,1.74,96.74,1.8,5133,45,0.88,Europe,33938
Sao Tome and Principe,Sao Tome and Principe,2463,37,2365,61,6,0,4,1.5,96.02,1.56,2432,31,1.27,Africa,219544
Saudi Arabia,Saudi Arabia,526814,8249,507374,11191,0,0,0,1.57,96.31,1.63,522108,4706,0.9,Eastern Mediterranean,34865919
Senegal,Senegal,64522,1423,48812,14287,498,29,434,2.21,75.65,2.92,59286,5236,8.83,Africa,16783877
Serbia,Serbia,723518,7129,0,716389,487,2,0,0.99,0,NaN,720975,2543,0.35,Europe,8733665
