Country_Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Bhutan,2540.0,2.0,2418.0,120.0,8.0,0.0,18.0,0.08,95.2,0.08,2501.0,39.0,1.56,South-East Asia
Bolivia,476097.0,17910.0,411830.0,46357.0,832.0,28.0,997.0,3.76,86.5,4.35,470929.0,5168.0,1.1,Americas
Bosnia and Herzegovina,205949.0,9689.0,189710.0,6550.0,124.0,0.0,13.0,4.7,92.12,5.11,205566.0,383.0,0.19,Europe
Botswana,115220.0,1653.0,96964.0,16603.0,0.0,0.0,0.0,1.43,84.16,1.7,102124.0,13096.0,12.82,Africa
Brazil,20034407.0,559944.0,17771228.0,1703235.0,40537.0,1072.0,0.0,2.79,88.7,3.15,19805359.0,229048.0,1.16,Americas
Brunei,338.0,3.0,280.0,55.0,0.0,0.0,0.0,0.89,82.84,1.07,333.0,5.0,1.5,Western Pacific
Bulgaria,426432.0,18229.0,398721.0,9482.0,429.0,4.0,52.0,4.27,93.5,4.57,424295.0,2137.0,0.5,Europe
Burkina Faso,13599.0,169.0,13385.0,45.0,8.0,0.0,0.0,1.24,98.43,1.26,13560.0,39.0,0.29,Africa
Burma,315118.0,10695.0,225849.0,78574.0,4051.0,322.0,4962.0,3.39,71.67,4.74,284099.0,31019.0,10.92,South-East Asia
Burundi,7518.0,38.0,773.0,6707.0,0.0,0.0,0.0,0.51,10.28,4.92,6715.0,803.0,11.96,Africa
Cabo Verde,33906.0,298.0,33173.0,435.0,48.0,0.0,45.0,0.88,97.84,0.9,33682.0,224.0,0.67,Africa
Cambodia,79634.0,1488.0,72803.0,5343.0,583.0,17.0,658.0,1.87,91.42,2.04,75152.0,4482.0,5.96,Western Pacific
Cameroon,82064.0,1334.0,35261.0,45469.0,0.0,0.0,0.0,1.63,42.97,3.78,82064.0,0.0,0.0,Africa
Canada,1438793.0,26618.0,1405958.0,6217.0,1093.0,11.0,442.0,1.85,97.72,1.89,1432646.0,6147.0,0.43,Americas
Central African Republic,7151.0,98.0,6859.0,194.0,0.0,0.0,0.0,1.37,95.92,1.43,7148.0,3.0,0.04,Africa
Chad,4974.0,174.0,4796.0,4.0,1.0,0.0,2.0,3.5,96.42,3.63,4972.0,2.0,0.04,Africa
Chile,1619183.0,35671.0,1575377.0,8135.0,726.0,31.0,1201.0,2.2,97.29,2.26,1611917.0,7266.0,0.45,Americas
China,115854.0,4848.0,99228.0,11778.0,94.0,0.0,41.0,4.18,85.65,4.89,115090.0,764.0,0.66,Western Pacific
Colombia,4815063.0,121695.0,4615354.0,78014.0,7084.0,479.0,9215.0,2.53,95.85,2.64,4757139.0,57924.0,1.22,Americas
Comoros,4029.0,147.0,3873.0,9.0,1.0,0.0,4.0,3.65,96.13,3.8,4024.0,5.0,0.12,Africa
